u,v,dist
4974677887,4974677886,128.20936546
6880340281,6880340282,67.8566688454
6880340282,6880340281,67.8566688454
5592421284,5592363916,1020.89675172
5592363916,5592421284,1020.89675172
1364588872,4978929092,113.311869187
4978929092,1364588872,113.311869187
4974677922,4974677924,106.467991717
4974677924,4974677922,106.467991717
4976572446,4976572447,84.1243919232
4976572447,4976572446,84.1243919232
4976572447,4976572477,85.4140263173
4976572477,4976572447,85.4140263173
4976572477,4976572448,30.615246575
4976572448,4976572477,30.615246575
4994016445,4994016448,195.423362188
4994016448,4994016445,195.423362188
4994016410,4994016413,62.0152561403
4994016413,4994016410,62.0152561403
7123305947,7123305948,13.2624131957
566697687,6158274100,90.1630838069
6158274100,566697687,90.1630838069
4976724190,4976724198,215.791890395
4976724198,4976724190,215.791890395
2686165178,2686165182,34.316757418
2686165182,2686165178,34.316757418
2686165182,4979137007,53.3292135869
4979137007,2686165182,53.3292135869
4979137007,3652850233,57.8505530499
3652850233,4979137007,57.8505530499
3652850233,2686165185,43.4951634772
2686165185,3652850233,43.4951634772
2686165185,2686165187,51.5430560095
2686165187,2686165185,51.5430560095
2686165187,4979133663,5.56204019115
4979133663,2686165187,5.56204019115
4979133663,4979134010,16.4204063695
4979134010,4979133663,16.4204063695
4979134010,2686165188,22.4724483239
2686165188,4979134010,22.4724483239
2686165188,4979132260,18.4973930242
4979132260,2686165188,18.4973930242
4979132260,4979134006,31.4939372824
4979134006,4979132260,31.4939372824
4979134006,2686165190,30.2073419272
2686165190,4979134006,30.2073419272
2686165190,2686216950,14.9914652308
2686216950,2686165190,14.9914652308
2686216950,4979130547,49.017560952
4979130547,2686216950,49.017560952
4979130547,2686165193,48.8112740307
2686165193,4979130547,48.8112740307
2686165193,2686216941,4.76990330811
2686216941,2686165193,4.76990330811
2686216941,4979133626,38.2070205735
4979133626,2686216941,38.2070205735
4979133626,2686165195,42.395363956
2686165195,4979133626,42.395363956
2686165195,2686216935,5.5897979531
2686216935,2686165195,5.5897979531
2686216935,2686165196,66.2468329949
2686165196,2686216935,66.2468329949
2686165196,2686216923,8.32281925304
2686216923,2686165196,8.32281925304
2686216923,2686216916,73.5601492949
2686216916,2686216923,73.5601492949
2686216916,4979133991,8.70927984639
4979133991,2686216916,8.70927984639
4979133991,4979133627,42.9448001634
4979133627,4979133991,42.9448001634
4979133627,2686165199,15.2896810475
2686165199,4979133627,15.2896810475
2686165199,4979132196,46.71557237
4979132196,2686165199,46.71557237
4979132196,7108050210,64.514256503
7108050210,4979132196,64.514256503
7108050210,2686165203,86.1299074178
2686165203,7108050210,86.1299074178
4890614418,4890614419,54.4971165878
4890614419,4890614418,54.4971165878
4890614419,4890614417,146.51434434
4890614417,4890614419,146.51434434
1364513462,1364513774,167.969305037
1364513774,1364513462,167.969305037
1364513774,1364513699,236.161734506
1364513699,1364513774,236.161734506
